Order_ID,Order_Date,Product,Category,Sales,City
ORD93030,18-10-2024,Cat Collar,Accessories,2441.89,Coimbatore
ORD28432,20-12-2025,Cat Food,Food,1429.2,Kolkata
ORD63748,17-11-2024,Pet Feeding Bowl,Accessories,743.48,Coimbatore
ORD15168,18-02-2026,Cat Collar,Accessories,3116.3,Coimbatore
ORD52498,19-04-2025,Bird Food,Food,1783.19,Bangalore
ORD14535,09-11-2025,Cat Collar,Accessories,1018.55,Visakhapatnam
ORD31066,20-11-2025,Bird Cage,Habitat,4028.17,Delhi
ORD61143,04-05-2025,Cat Collar,Accessories,522.12,Hyderabad
ORD24709,03-08-2026,Dog Toy Ball,Toys,4484.28,Ahmedabad
ORD20817,10-03-2024,Pet Grooming Brush,Grooming,947.86,Visakhapatnam
ORD69047,28-01-2025,Dog Collar,Accessories,2927.02,Delhi
ORD51387,06-07-2025,Bird Cage,Habitat,4964.87,Hyderabad
ORD26585,23-11-2025,Pet Bed,Accessories,626.34,Kolkata
ORD40467,10-04-2024,Pet Grooming Brush,Grooming,3634.29,Kolkata
ORD29511,20-11-2025,Cat Collar,Accessories,2318.06,Hyderabad
ORD44895,28-03-2025,Dog Toy Ball,Toys,3145.58,Chennai
ORD35204,24-06-2025,Dog Toy Ball,Toys,2771.29,Kolkata
ORD10260,07-03-2025,Pet Bed,Accessories,4992.12,Visakhapatnam
ORD65749,03-03-2026,Dog Toy Ball,Toys,2431.76,Ahmedabad
ORD24708,17-09-2024,Fish Tank,Habitat,2624.44,Pune
ORD29903,19-10-2025,Dog Shampoo,Grooming,2241.21,Coimbatore
ORD45167,20-07-2025,Cat Shampoo,Grooming,4590.79,Mumbai
ORD12160,13-02-2025,Pet Nail Clipper,Grooming,4448.76,Ahmedabad
ORD64595,10-05-2024,Pet Nail Clipper,Grooming,1261.84,Delhi
ORD22576,13-12-2024,Bird Food,Accessories,2865.9,Hyderabad
ORD72930,21-06-2025,Dog Toy Ball,Toys,459.37,Hyderabad
ORD86215,28-05-2024,Fish Food,Food,1845.1,Ahmedabad
ORD45765,16-01-2025,Fish Tank,Habitat,3593.56,Hyderabad
ORD64367,13-04-2025,Cat Toy Mouse,Toys,4426.09,Delhi
ORD64844,17-06-2024,Dog Collar,Accessories,4515.67,Chennai
ORD16840,06-07-2024,Dog Leash,Accessories,3882.15,Ahmedabad
ORD99360,16-01-2026,Pet Feeding Bowl,Accessories,1246.53,Kolkata
ORD43148,28-04-2025,Pet Grooming Brush,Grooming,1177.85,Chennai
ORD84997,02-11-2024,Bird Food,Food,2617.73,Kolkata
ORD29520,04-06-2025,Pet Carrier,Habitat,612.61,Hyderabad
ORD82597,04-12-2025,Dog Leash,Accessories,1303.83,Mumbai
ORD98948,12-08-2024,Dog Collar,Accessories,3833.41,Visakhapatnam
ORD65200,08-12-2025,Dog Food,Food,730.25,Pune
ORD31281,21-12-2025,Fish Food,Food,4077.23,Visakhapatnam
ORD74167,01-04-2024,Bird Cage,Habitat,2438.12,Pune
ORD22097,03-09-2025,Cat Food,Food,3326.57,Pune
ORD98678,28-07-2025,Bird Food,Food,1206.69,Hyderabad
ORD27438,03-01-2026,Fish Tank,Accessories,4631.75,Ahmedabad
ORD39809,18-04-2024,Chew Toy,Toys,2254.14,Delhi
ORD78926,14-06-2025,Dog Leash,Accessories,2486.35,Kolkata
ORD56032,19-06-2025,Cat Shampoo,Grooming,481.2,Pune
ORD87001,02-12-2025,Cat Shampoo,Grooming,2462.57,Bangalore
ORD90876,30-01-2025,Cat Collar,Accessories,2248.62,Kolkata
ORD49115,09-04-2025,Pet Feeding Bowl,Accessories,3789.22,Chennai
ORD85861,30-01-2025,Bird Cage,Habitat,1271.66,Chennai
ORD33576,20-01-2025,Dog Food,Food,2297.68,Coimbatore
ORD59142,06-11-2024,Cat Collar,Accessories,2215.29,Delhi
ORD82778,25-10-2025,Bird Food,Food,4481.65,Chennai
ORD84724,06-02-2025,Dog Leash,Accessories,2440.69,Visakhapatnam
ORD32929,08-08-2025,Pet Feeding Bowl,Accessories,2008.44,Hyderabad
ORD23067,27-09-2024,Dog Toy Ball,Toys,1128.01,Mumbai
ORD70332,16-03-2024,Dog Food,Food,2903.07,Mumbai
ORD77032,01-01-2025,Dog Shampoo,Grooming,3259.77,Chennai
ORD36663,04-03-2025,Dog Toy Ball,Toys,4831.23,Visakhapatnam
ORD19956,07-11-2024,Pet Carrier,Habitat,4700.81,Pune
ORD76878,16-11-2024,Pet Nail Clipper,Grooming,1985.84,Bangalore
ORD74492,16-11-2024,Cat Food,Food,4643.41,Coimbatore
ORD61999,09-03-2026,Chew Toy,Toys,2431.76,Mumbai
ORD48995,04-11-2024,Dog Toy Ball,Toys,1505.39,Ahmedabad
ORD82853,04-03-2025,Pet Feeding Bowl,Accessories,2441.89,Bangalore
