Order_ID,Order_Date,Product,Category,Sales,City
ORD93030,2024-10-18,Cat Collar,Accessories,0,Coimbatore
ORD28432,2025-12-20,Cat Food,Food,1429.2,Kolkata
ORD63748,2024-11-17,Unknown Product,Accessories,743.48,Coimbatore
ORD15168,2026-02-18,Cat Collar,Unknown,3116.3,Coimbatore
ORD52498,2025-04-19,Bird Food,Food,1783.19,Bangalore
ORD14535,2025-11-09,Cat Collar,Accessories,1018.55,Visakhapatnam
ORD31066,2025-11-20,Bird Cage,Habitat,4028.17,Delhi
ORD61143,2025-05-04,Cat Collar,Accessories,522.12,Hyderabad
ORD24709,2026-08-03,Dog Toy Ball,Toys,4484.28,Ahmedabad
ORD20817,2024-03-10,Pet Grooming Brush,Grooming,947.86,Visakhapatnam
ORD69047,2025-01-28,Dog Collar,Accessories,2927.02,Delhi
ORD51387,2025-07-06,Unknown Product,Habitat,4964.87,Hyderabad
ORD26585,2025-11-23,Pet Bed,Accessories,626.34,Kolkata
ORD40467,2024-04-10,Pet Grooming Brush,Grooming,3634.29,Kolkata
ORD29511,2025-11-20,Cat Collar,Accessories,2318.06,Hyderabad
ORD44895,2025-03-28,Dog Toy Ball,Toys,3145.58,Chennai
ORD35204,2025-06-24,Dog Toy Ball,Toys,2771.29,Kolkata
ORD10260,2025-03-07,Pet Bed,Accessories,4992.12,Visakhapatnam
ORD65749,2026-03-03,Dog Toy Ball,Toys,0,Ahmedabad
ORD24708,2024-09-17,Fish Tank,Habitat,2624.44,Pune
ORD29903,2025-10-19,Unknown Product,Grooming,2241.21,Coimbatore
ORD45167,2025-07-20,Cat Shampoo,Grooming,4590.79,Mumbai
ORD12160,2025-02-13,Pet Nail Clipper,Grooming,4448.76,Ahmedabad
ORD64595,2024-05-10,Pet Nail Clipper,Grooming,1261.84,Delhi
ORD22576,2024-12-13,Bird Food,Unknown,2865.9,Hyderabad
ORD72930,2025-06-21,Dog Toy Ball,Toys,459.37,Hyderabad
ORD86215,2024-05-28,Fish Food,Food,1845.1,Ahmedabad
ORD45765,2025-01-16,Fish Tank,Habitat,3593.56,Hyderabad
ORD64367,2025-04-13,Cat Toy Mouse,Toys,4426.09,Delhi
ORD64844,2024-06-17,Dog Collar,Accessories,4515.67,Chennai
ORD16840,2024-07-06,Dog Leash,Accessories,3882.15,Ahmedabad
ORD99360,2026-01-16,Unknown Product,Accessories,1246.53,Kolkata
ORD43148,2025-04-28,Pet Grooming Brush,Grooming,1177.85,Chennai
ORD84997,2024-11-02,Bird Food,Food,2617.73,Kolkata
ORD29520,2025-06-04,Pet Carrier,Habitat,612.61,Hyderabad
ORD82597,2025-12-04,Dog Leash,Accessories,1303.83,Mumbai
ORD98948,2024-08-12,Dog Collar,Accessories,3833.41,Visakhapatnam
ORD65200,2025-12-08,Dog Food,Food,730.25,Pune
ORD31281,2025-12-21,Fish Food,Food,4077.23,Visakhapatnam
ORD74167,2024-04-01,Unknown Product,Habitat,2438.12,Pune
ORD22097,2025-09-03,Cat Food,Food,3326.57,Pune
ORD98678,2025-07-28,Bird Food,Food,1206.69,Hyderabad
ORD27438,2026-01-03,Fish Tank,Unknown,4631.75,Ahmedabad
ORD39809,2024-04-18,Chew Toy,Toys,2254.14,Delhi
ORD78926,2025-06-14,Dog Leash,Accessories,2486.35,Kolkata
ORD56032,2025-06-19,Cat Shampoo,Grooming,481.2,Pune
ORD87001,2025-12-02,Cat Shampoo,Grooming,0,Bangalore
ORD90876,2025-01-30,Cat Collar,Accessories,2248.62,Kolkata
ORD49115,2025-04-09,Unknown Product,Accessories,3789.22,Chennai
ORD85861,2025-01-30,Bird Cage,Habitat,1271.66,Chennai
ORD33576,2025-01-20,Dog Food,Food,2297.68,Coimbatore
ORD59142,2024-11-06,Cat Collar,Accessories,2215.29,Delhi
ORD82778,2025-10-25,Bird Food,Food,4481.65,Chennai
ORD84724,2025-02-06,Dog Leash,Accessories,2440.69,Visakhapatnam
ORD32929,2025-08-08,Pet Feeding Bowl,Accessories,2008.44,Hyderabad
ORD23067,2024-09-27,Unknown Product,Toys,1128.01,Mumbai
ORD70332,2024-03-16,Dog Food,Food,2903.07,Mumbai
ORD77032,2025-01-01,Dog Shampoo,Grooming,3259.77,Chennai
ORD36663,2025-03-04,Dog Toy Ball,Toys,4831.23,Visakhapatnam
ORD19956,2024-11-07,Pet Carrier,Habitat,4700.81,Unknown
ORD76878,2024-11-16,Pet Nail Clipper,Grooming,1985.84,Bangalore
ORD74492,2024-11-16,Cat Food,Food,4643.41,Coimbatore
ORD61999,2026-03-09,Chew Toy,Toys,0,Mumbai
ORD48995,2024-11-04,Dog Toy Ball,Toys,1505.39,Ahmedabad
ORD82853,2025-03-04,Pet Feeding Bowl,Accessories,0,Bangalore
ORD80257,2024-05-17,Pet Feeding Bowl,Accessories,4760.82,Ahmedabad
ORD86411,2025-04-21,Dog Leash,Accessories,3532.73,Hyderabad
ORD43936,2024-05-23,Pet Bed,Accessories,947.74,Pune
ORD50484,2025-07-06,Dog Leash,Accessories,2124.2,Ahmedabad
ORD22969,2026-01-20,Unknown Product,Grooming,4520.74,Chennai
ORD24311,2025-12-05,Pet Blanket,Accessories,2072.42,Ahmedabad
ORD15565,2024-07-04,Unknown Product,Accessories,4653.51,Bangalore
ORD45885,2024-11-25,Pet Carrier,Habitat,2492.83,Bangalore
ORD39363,2025-05-08,Cat Shampoo,Grooming,483.42,Chennai
ORD38709,2025-12-04,Bird Food,Food,1796.52,Bangalore
ORD38012,2025-11-02,Fish Food,Food,820.12,Mumbai
ORD99904,2024-08-15,Bird Cage,Habitat,750.23,Unknown
ORD41910,2024-09-27,Bird Cage,Habitat,4939.68,Mumbai
ORD27213,2024-11-11,Pet Nail Clipper,Grooming,2489.51,Pune
ORD12300,2025-01-14,Bird Food,Food,2955.51,Chennai
ORD86288,2026-03-01,Dog Toy Ball,Toys,1452.29,Visakhapatnam
ORD24033,2025-12-15,Cat Food,Food,3305.19,Hyderabad
ORD43472,2024-06-10,Pet Carrier,Habitat,2874.07,Chennai
ORD50866,2026-02-07,Pet Carrier,Habitat,2367.3,Mumbai
ORD49394,2025-12-25,Cat Shampoo,Grooming,2715.74,Unknown
ORD78199,2024-09-18,Pet Blanket,Accessories,2413.19,Mumbai
ORD46061,2026-02-26,Pet Carrier,Habitat,4878.84,Kolkata
ORD18821,2025-06-12,Dog Toy Ball,Toys,0,Ahmedabad
ORD74336,2024-05-26,Dog Toy Ball,Toys,2544.91,Delhi
ORD92793,2024-05-07,Cat Collar,Accessories,2711.48,Pune
ORD99655,2025-03-23,Pet Grooming Brush,Grooming,3928.36,Kolkata
ORD64806,2024-06-26,Cat Food,Food,4057.42,Pune
ORD78710,2024-08-10,Cat Toy Mouse,Toys,0,Bangalore
ORD62481,2026-01-14,Cat Toy Mouse,Unknown,1309.78,Visakhapatnam
ORD31205,2024-09-13,Fish Food,Food,0,Mumbai
ORD33102,2024-10-31,Cat Toy Mouse,Toys,2851.81,Chennai
ORD92790,2025-01-13,Pet Blanket,Unknown,1577.51,Unknown
ORD35989,2025-01-08,Pet Grooming Brush,Grooming,4414.25,Pune
ORD41799,2025-07-05,Pet Bed,Accessories,4656.06,Pune
ORD97159,2025-12-09,Fish Food,Food,4387.13,Bangalore
