Order_ID,Order_Date,Product,Category,Sales,City
ORD93030,Oct 18 2024, Cat Collar ,Accessories,nan, Coimbatore 
ORD28432,12/20/2025, Cat Food ,Food,1429.2, kolkata 
,23-11-2025, Dog Food ,Food,4322.74, ahmedabad 
ORD63748,17-11-2024, nan ,Accessories,743.48, Coimbatore 
,23-Apr-24, Cat Toy Mouse ,Toys,4370.25, Pune 
ORD15168,18-02-2026, Cat Collar ,,3116.3, COIMBATORE 
ORD52498,19-04-2025, Bird Food ,Food,1783.19, Bangalore 
ORD14535,09-11-2025, Cat Collar ,Accessories,1018.55, VISAKHAPATNAM 
ORD31066,20-11-2025, Bird Cage ,Habitat,4028.17, DELHI 
ORD61143,May 04 2025, Cat Collar ,Accessories,522.12, Hyderabad 
ORD24709,03-08-2026, Dog Toy Ball ,Toys,4484.28, AHMEDABAD 
ORD20817,Mar 10 2024, Pet Grooming Brush ,Grooming,947.86, VISAKHAPATNAM 
ORD69047,28-01-2025, Dog Collar ,Accessories,2927.02, DELHI 
ORD51387,Jul 06 2025, nan ,Habitat,4964.87, hyderabad 
ORD26585,11/23/2025, Pet Bed ,Accessories,626.34, Kolkata 
ORD40467,10-04-2024, Pet Grooming Brush ,Grooming,3634.29, kolkata 
ORD29511,11/20/2025, Cat Collar ,Accessories,2318.06, HYDERABAD 
ORD44895,Mar 28 2025, Dog Toy Ball ,Toys,3145.58, CHENNAI 
ORD35204,24-Jun-25, Dog Toy Ball ,Toys,2771.29, KOLKATA 
ORD10260,07-03-2025, Pet Bed ,Accessories,4992.12, Visakhapatnam 
ORD65749,03-03-2026, Dog Toy Ball ,Toys,, ahmedabad 
ORD24708,17-09-2024, Fish Tank ,Habitat,2624.44, pune 
ORD29903,Oct 19 2025, nan ,Grooming,2241.21, COIMBATORE 
ORD45167,07/20/2025, Cat Shampoo ,Grooming,4590.79, mumbai 
ORD12160,Feb 13 2025, Pet Nail Clipper ,Grooming,4448.76, Ahmedabad 
ORD64595,10-May-24, Pet Nail Clipper ,Grooming,1261.84, Delhi 
ORD22576,13-Dec-24, Bird Food ,,2865.9, HYDERABAD 
ORD72930,06/21/2025, Dog Toy Ball ,Toys,459.37, HYDERABAD 
ORD86215,28-05-2024, Fish Food ,Food,1845.1, ahmedabad 
,10-09-2024, Pet Blanket ,Accessories,4293.25, KOLKATA 
ORD45765,16-01-2025, Fish Tank ,Habitat,3593.56, HYDERABAD 
ORD64367,04/13/2025, Cat Toy Mouse ,Toys,4426.09, delhi 
ORD64844,17-Jun-24, Dog Collar ,Accessories,4515.67, Chennai 
ORD16840,06-Jul-24, Dog Leash ,Accessories,3882.15, Ahmedabad 
ORD99360,Jan 16 2026, nan ,Accessories,1246.53, kolkata 
ORD43148,28-Apr-25, Pet Grooming Brush ,Grooming,1177.85, Chennai 
ORD45408,, nan ,Toys,4245.76, visakhapatnam 
ORD84997,02-Nov-24, Bird Food ,Food,2617.73, KOLKATA 
ORD29520,04-06-2025, Pet Carrier ,Habitat,612.61, HYDERABAD 
ORD82597,04-12-2025, Dog Leash ,Accessories,1303.83, Mumbai 
ORD98948,12-Aug-24, Dog Collar ,Accessories,3833.41, visakhapatnam 
ORD65200,08-Dec-25, Dog Food ,Food,730.25, PUNE 
ORD31281,21-12-2025, Fish Food ,Food,4077.23, Visakhapatnam 
ORD74167,01-04-2024, nan ,Habitat,2438.12, pune 
ORD22097,Sep 03 2025, Cat Food ,Food,3326.57, Pune 
ORD98678,07/28/2025, Bird Food ,Food,1206.69, HYDERABAD 
ORD27438,03-01-2026, Fish Tank ,,4631.75, AHMEDABAD 
ORD39809,Apr 18 2024, Chew Toy ,Toys,2254.14, DELHI 
ORD78926,14-06-2025, Dog Leash ,Accessories,2486.35, Kolkata 
ORD56032,06/19/2025, Cat Shampoo ,Grooming,481.2, Pune 
ORD87001,02-Dec-25, Cat Shampoo ,Grooming,, Bangalore 
ORD90876,Jan 30 2025, Cat Collar ,Accessories,2248.62, KOLKATA 
ORD49115,Apr 09 2025, nan ,Accessories,3789.22, Chennai 
ORD85861,30-Jan-25, Bird Cage ,Habitat,1271.66, Chennai 
ORD33576,01/20/2025, Dog Food ,Food,2297.68, coimbatore 
ORD59142,06-11-2024, Cat Collar ,Accessories,2215.29, DELHI 
ORD82778,25-Oct-25, Bird Food ,Food,4481.65, Chennai 
ORD84724,Feb 06 2025, Dog Leash ,Accessories,2440.69, Visakhapatnam 
ORD32929,Aug 08 2025, Pet Feeding Bowl ,Accessories,2008.44, hyderabad 
ORD23067,27-09-2024, nan ,Toys,1128.01, Mumbai 
ORD70332,Mar 16 2024, Dog Food ,Food,2903.07, Mumbai 
ORD77032,01-01-2025, Dog Shampoo ,Grooming,3259.77, CHENNAI 
ORD18664,, Fish Food ,Food,1989.97, NAN 
ORD36663,Mar 04 2025, Dog Toy Ball ,Toys,4831.23, visakhapatnam 
ORD19956,07-11-2024, Pet Carrier ,Habitat,4700.81, nan 
ORD76878,16-Nov-24, Pet Nail Clipper ,Grooming,1985.84, BANGALORE 
ORD74492,16-11-2024, Cat Food ,Food,4643.41, coimbatore 
ORD61999,09-03-2026, Chew Toy ,Toys,, Mumbai 
,Oct 18 2025, Pet Feeding Bowl ,Accessories,554.02, delhi 
ORD48995,04-11-2024, Dog Toy Ball ,Toys,1505.39, Ahmedabad 
ORD82853,04-03-2025, Pet Feeding Bowl ,Accessories,, Bangalore 
ORD80257,17-May-24, Pet Feeding Bowl ,Accessories,4760.82, ahmedabad 
ORD86411,21-04-2025, Dog Leash ,Accessories,3532.73, HYDERABAD 
ORD43936,23-05-2024, Pet Bed ,Accessories,947.74, pune 
ORD50484,06-07-2025, Dog Leash ,Accessories,2124.2, ahmedabad 
ORD22969,Jan 20 2026, nan ,Grooming,4520.74, chennai 
ORD24311,05-12-2025, Pet Blanket ,Accessories,2072.42, ahmedabad 
ORD15565,04-Jul-24, nan ,Accessories,4653.51, bangalore 
ORD45885,25-11-2024, Pet Carrier ,Habitat,2492.83, BANGALORE 
ORD39363,08-May-25, Cat Shampoo ,Grooming,483.42, chennai 
ORD38709,Dec 04 2025, Bird Food ,Food,1796.52, BANGALORE 
,13-01-2025, Dog Shampoo ,Grooming,, Pune 
ORD38012,02-11-2025, Fish Food ,Food,820.12, mumbai 
ORD99904,15-Aug-24, Bird Cage ,Habitat,750.23, NAN 
